claim_id,current_wording,intended_contribution,exact_source_version,method_variant,assumptions,evidence,prior_art,status,severity,repair,manuscript_location
C24,A shared union eraser does not demonstrate retention … restricted arm ties,correction,main.tex@30a6fd19e :398-401; redesign_20260907_gaussian_v1/TABLE.md@0176f149e91c02b8e2d202eb25ea9cba8ae019dc,Gaussian pilot,continuous tasks,TABLE.md lines 6-15 (source-read),LEACE,supported as stated,none,none,App. C item 2
C25,A proposed near-optimality certificate … explicitly skipped,correction,main.tex@30a6fd19e :404-405,—,—,PAPER_PASTE_theory.md:93-127@0176f149e91c02b8e2d202eb25ea9cba8ae019dc (Sadeghi–Boddeti u*),—,supported after narrowing,minor,name it (Sadeghi–Boddeti); the original P1 (Zhao–Gordon) is valid and prior (T5),App. C item 4
C26,one shared frozen backbone carried per-purpose adapters (NeurIPS §4.1: pretrained on the union of allowed tasks),encoder-line description,main.tex@30a6fd19e :340-342; NeurIPS PDF §4.1,F1 v2 runner,—,"run_v2_dataset.py run_seed @ dbe0fdc and 0eee48f; lora.py:182 (seeded random init, frozen)",—,refuted,blocking,"for any reuse, say frozen randomly initialised backbone; correction item for the original (EARLY_FINDINGS E5)",:340-342; App. A
C27,56/60 strict at τ=0.05 (NeurIPS headline); rebuttal baseline 54/60,encoder-line headline,NeurIPS PDF abstract; results/v2_*_ROUND5/7 @0176f149e91c02b8e2d202eb25ea9cba8ae019dc,F1,final iterate vs best checkpoint,dominant_axis_audit.json (final.pt) = 56; per_seed_results.json (best) = 54 (recounted),—,supported after narrowing,minor,compare rebuttal arms at the same checkpoint rule,not in manuscript
C28,Proposition 4 explains the collapse gap / sets the LoRA rank floor,rank theory,NeurIPS §5.2,F1 LoRA on every Linear,h=(I+BA′)f0,F12 exact: a rank-1 first-layer edit gives R² 1→0 below the rank-1 floor; lora.py @ dbe0fdc,RLACE/LEACE rank facts,supported after narrowing,major,restrict to a single multiplicative edit (THEORY_REPAIRS T4),not in manuscript
C29,Proposition 6 cross-purpose linear-leakage bound,bound for approximate composition,NeurIPS App. C,—,Σ_p≻0; unregularised per-purpose R² premise,F11 tight example; proof checked (T3),Rayleigh–Ritz (elementary),supported as stated,minor,restore in §III as a lemma with assumptions (tex/composition.tex),absent; add to :153-156
C30,LoRA adapters are an order of magnitude lighter … (efficiency/necessity),adapter justification,NeurIPS App. (compute cost); reviewer concern,F1,—,"no plain linear-adapter comparison executed (ablation 1 registered at ecaeba46, never run)",—,unverified because a specific source or computation is missing,major,remove demonstrated-advantage wording; state the missing comparison,not in manuscript
C31,Audits do not transport across hardware below about 0.003 nats,reproducibility limit,main.tex@30a6fd19e :328-329,F4,—,T1 status: float32 MLP ~1e-7 differences flip 0.1-0.4% of T0 codes; the 0.003 figure was not traced by T3,—,unverified because a specific source or computation is missing,minor,cite the source record for 0.003,:328-329
C32,Three searches for a stronger attacker … each failed to beat the standard slate,attack-strength scope,main.tex@30a6fd19e :325-326,—,—,not traced by T3,—,unverified because a specific source or computation is missing,minor,cite the three study records,:325-326
C33,81 primary maps … 126 completed … 125 kernel groups … 297 audits,accounting,main.tex@30a6fd19e :386-390,F4,—,T2 traced (54+18+9) and independent replay; MATH_VALIDATION_FINAL: 126 maps,—,supported as stated,none,none,App. B
C34,dual floor and warm-up rule developed after examining an earlier evaluation on the same grid,tuning disclosure,main.tex@30a6fd19e :378-382; PAPER_PASTE.md:96-126@0176f149e91c02b8e2d202eb25ea9cba8ae019dc,F1,—,source-read,—,supported as stated,none,keep; ablation 3 (held-out selection) registered but never run,App. A
C35,(not in manuscript) 2017 locked coalition result,spectral C1 vs local controls,results/redesign_20260917_acs_spectral_transport_v1/TRANSPORT_RESULTS.md @f4bdf4cd5bf74c634feeec50aef78bff249667e4,F3 spectral C1,Mode B fresh attacks; max-|t| c=2.93 over 20,"14/16 sensitive endpoints better, 0 worse, 2 unresolved (A/SEX unweighted vs L1 and L2); residence within ±0.001 point rule, not interval non-inferiority; C1 still worse than J",—,supported after narrowing,minor,if cited: a different method (F3); confirmatory status does not transfer to Q,not in manuscript
C36,"Proposed title: Sharing What Helps, Limiting What Leaks: Learning Representations for Specific Purposes",framing,task prompt (not registered),F1 vs F4,—,METHOD_LINEAGE,—,supported after narrowing,major,subtitle matching the implementation (CORRECTED_CONTRIBUTIONS),title
C37,the stochastic machinery has not been shown to buy anything over a matched deterministic release,value of randomisation,main.tex@30a6fd19e :267-268,Q vs D17,development data,T1 status; HEADLINE_EVIDENCE,Rassouli&Gündüz (randomisation for perfect privacy),adaptation whose empirical value is unresolved,none,keep; T1's registered 2016 comparison is the pending test,:261-268
