id,section,claim,type,value,source_commit,source_artifact,endpoint_or_table,data_pool,evaluation_status,attack_scope,uncertainty_procedure,limitation,regeneration_command
C11,§8.1,"Eigenvalue-sign rank selection makes no change on this interface: r_plus = 16 in every seed and for every original objective, with no nonpositive direction in the top sixteen.",empirical,"r_plus by seed {'0': 16, '1': 16, '2': 16}; U spectrum 32 positive / 0 negative / 96 within tolerance in all three seeds; alias of rank 16: True",c37807e4f568ef38e5528fc09c1506083278bf4d,results/pcrl_nonlinear_rank_v1/RANK_SPECTRUM.json,Table: rank_spectrum,2018 representation-fit matrices only,"OUTCOME-FREE: computed before any new fit; no label, attack or outcome involved",n/a,none: deterministic spectra of fixed matrices,"r_plus is the retained rank of the OLD fixed linear-moment objective. It is not the optimal rank of the refined objective, which has no fixed matrix. rank(U)=32 alone does not logically imply the sign pattern; the measured counts do.",PYTHONPATH=. python -m experiments.pcrl_nonlinear_rank_v1.rank_diagnostic  (already committed at c37807e4f568ef38e5528fc09c1506083278bf4d)
C12,§8.2,"Three of six registered directional predictions in Study 2 were wrong or ambiguous, and all registered coordination decisions failed.",empirical,"8 of 8 registered coordination decisions NOT SUPPORTED; P3, P4 and P5 wrong or ambiguous",c37807e4f568ef38e5528fc09c1506083278bf4d,"results/pcrl_nonlinear_rank_v1/DEVELOPMENT_2018.json, results/pcrl_nonlinear_rank_v1/PROTOCOL_FREEZE.json",registered_decisions,ACS 2018 development test pools,"DEVELOPMENT (repeatedly used pools), prospectively registered","fresh five-candidate and kernel families for A/AB roles, canonical B candidates and legally routed H ancestors; no catch-up scope claimed","paired household-cluster bootstrap, 2000 replicates, clusters drawn once per replicate from the 20,147 cohort households and applied to all three seeds; single-step studentised max-|t| inside the comparison family","A registered prediction on development data constrains interpretation, not error rates: these pools have been used repeatedly across this line of work.",PYTHONPATH=. python -m experiments.pcrl_manuscript_v2.build_claim_ledger --repo . --out results/pcrl_manuscript_review_v2
C13,§8.3; §9 item 12,"Both factors reduce measured recovery on different attributes, most cells are unresolved, and the nonlinear penalty is NOT harmless: one cell is significantly worse. The earlier ""no endpoint significantly worse"" is withdrawn.",empirical,"nonlinear penalty r=16: 7 better / 0 worse of 24; r=8: 5 better / 1 worse of 24 (worse cell: nlr8_L1 - lin8_L1 on recovery/A/RAC1P unweighted, +0.00862 [+0.00168, +0.01556]); rank-8 compression: 15 better / 0 worse of 48",c37807e4f568ef38e5528fc09c1506083278bf4d,results/pcrl_nonlinear_rank_v1/PAIRED_INTERVALS.csv,Table: attribution; Table: attribution_cells; Figure: attribution,ACS 2018 development test pools,DEVELOPMENT,"fresh five-candidate and kernel families for A/AB roles, canonical B candidates and legally routed H ancestors; no catch-up scope claimed","paired household-cluster bootstrap, 2000 replicates, clusters drawn once per replicate from the 20,147 cohort households and applied to all three seeds; single-step studentised max-|t| inside the comparison family",Three seeds leave most of the grid undecided. Seed-to-seed variability on race recovery is large relative to the effects.,PYTHONPATH=. python -m experiments.pcrl_manuscript_v2.make_assets_v2 --repo . --out papers/pcrl_manuscript_v2
C14,§8.4,The best refined candidate is significantly worse than J on local sex under both weightings and indistinguishable elsewhere; it is not nominated.,empirical,"2 of 8 sensitive cells significantly worse (recovery/A/SEX, unweighted +0.01065, person-weighted +0.01210; the study prose gave +0.0098 for the latter, which no cell supports - see CLAIM_CHANGES A11); residence gain 0.0259 vs J 0.0215, not significant",c37807e4f568ef38e5528fc09c1506083278bf4d,results/pcrl_nonlinear_rank_v1/PAIRED_INTERVALS.csv,Table: candidate_vs_j,ACS 2018 development test pools,DEVELOPMENT,"fresh five-candidate and kernel families for A/AB roles, canonical B candidates and legally routed H ancestors; no catch-up scope claimed","paired household-cluster bootstrap, 2000 replicates, clusters drawn once per replicate from the 20,147 cohort households and applied to all three seeds; single-step studentised max-|t| inside the comparison family","nlr8_C1 was selected as best after inspecting 12 new conditions. That is a selection, and its A/SEX deficit is the endpoint a selective reading would have omitted.",PYTHONPATH=. python -m experiments.pcrl_manuscript_v2.make_assets_v2 --repo . --out papers/pcrl_manuscript_v2
C15,§4.2; §8.5,"The refined objective is coordinate-dependent: utility and the original penalty are invariant under W -> WQ, the refined penalty is not.",restricted-math,nonlinear penalty change under rotation up to 1.36e-02; utility change at most 3.33e-16,c37807e4f568ef38e5528fc09c1506083278bf4d,results/pcrl_nonlinear_rank_v1/DIAGNOSTICS_SUMMARY.json,seeds[*].invariance,2018 fitted maps,structural check on fitted objects,n/a,none: exact arithmetic on fixed matrices,Information preservation under an invertible coordinate change is a statement about released information and about optima over all measurable predictors. It does not say that every finite trained attacker behaves identically on the two releases.,PYTHONPATH=. python -m experiments.pcrl_manuscript_v2.make_assets_v2 --repo . --out papers/pcrl_manuscript_v2
C16,§8.5; §9 item 13,"A separately optimised, information-preserving rotation reaches a large share of the refinement training gain. This is a weakness of the objective. It is NOT a causal budget partition of what the optimiser did.",diagnostic,"attained rotation-only share: mean 0.628, range 0.367-0.907 over 18 conditions; rotation search stop reasons: budget_exhausted, line_search_failed_no_improvement",c37807e4f568ef38e5528fc09c1506083278bf4d,results/pcrl_nonlinear_rank_v1/DIAGNOSTICS_SUMMARY.json,seeds[*].rotation; Figure: rotation,2018 fitted maps,diagnostic on our own fitted objects,n/a (no attacker involved),"none: per-condition point values, three seeds shown individually","The rotation search is itself bounded (budget exhausted or line search failed), so each value is an attained share, not a supremum. The two searches optimise over different feasible sets, so the share does not decompose the actual trajectory into effective and wasted parts, and it predicts nothing about a repaired objective.",PYTHONPATH=. python -m experiments.pcrl_manuscript_v2.make_assets_v2 --repo . --out papers/pcrl_manuscript_v2
C17,§8.6,The frozen nuisance models barely beat a constant prior on the protected attributes.,diagnostic,"improvement over prior loss, A and AB roles, all seeds: sex 0.03-0.66%, race 0.96-2.35%; for contrast the same nuisance family reaches 8.1-8.9% on public coverage, an authorised attribute",c37807e4f568ef38e5528fc09c1506083278bf4d,results/pcrl_nonlinear_rank_v1/DIAGNOSTICS_SUMMARY.json,seeds[*].nuisance_calibration,2018 representation-fit pools,diagnostic on our own fitted nuisances,n/a,out-of-fold log loss vs prior; no interval,"This does NOT show that H carries little population information about sex or race, that the fitted m(H) are accurate conditional means, or that conditional and marginal protection coincide in general. A restricted nuisance class can miss information and conditional interactions.",PYTHONPATH=. python -m experiments.pcrl_manuscript_v2.make_assets_v2 --repo . --out papers/pcrl_manuscript_v2
C18,§8.7,Three optimisation checks passed. They exclude three specific failures and do not establish good optimisation of a nonconvex objective.,diagnostic,refinement never returned its initial point in 18 of 18 conditions; both restarts completed; feasibility max|W'W - I| <= 1.4e-15,c37807e4f568ef38e5528fc09c1506083278bf4d,"results/pcrl_nonlinear_rank_v1/RESEARCH_DECISION.md, results/pcrl_nonlinear_rank_v1/seed_*/fit_diagnostics.json",fit diagnostics,2018 fitted maps,diagnostic,n/a,none,"Ky Fan gives a restricted global optimum for the ORIGINAL fixed matrix only. The refinement inherits no optimality statement, and suboptimal optimisation remains a live explanation for its results.",PYTHONPATH=. python -m experiments.pcrl_manuscript_v2.build_claim_ledger --repo . --out results/pcrl_manuscript_review_v2
C19,Abstract (v); §8.8,"The exploratory 2017 reuse reproduces both attribution effects in direction but makes the comparison against J worse, not better.",empirical,per-seed sign agreement with 2018: 188 of 288; on this partition J is below nlr8_C1 on all four family sensitive endpoints (0.0013/0.0039/0.0069/0.0015 vs 0.0105/0.0155/0.0127/0.0154),c37807e4f568ef38e5528fc09c1506083278bf4d,results/pcrl_nonlinear_rank_v1/EXPLORATORY_2017.json,"EXPLORATORY_2017.md, scope common_fresh and transport_all",ACS 2017 partitions AFTER the original seal was spent,"EXPLORATORY CROSS-YEAR DEVELOPMENT; not a confirmation, not a replication, and it does not restate or overwrite the original frozen 2017 result",probes and attackers refitted on 2017 fitting pools and selected on 2017 validation pools; ev.load_final deliberately never called,NONE BY DESIGN: no simultaneous intervals are computed on a spent seal,"Three seeds on an exposed partition cannot resolve this, and no interval is offered that would imply otherwise.",PYTHONPATH=. python -m experiments.pcrl_manuscript_v2.make_assets_v2 --repo . --out papers/pcrl_manuscript_v2
C20,§6; Table 1,"ACS 2016 is admitted on documented provenance and schema checks with a prospective label-blind household split prepared, and remains UNSCORED.",structural,"admitted; prospective split prepared; no model fitted, no outcome distribution inspected, no performance diagnostic produced",0d8f4b67b6d4961dfa133289d0167c874d2f4794,"results/pcrl_evidence_review_v1/DATA_2016_ADMISSION.md, results/pcrl_evidence_review_v1/ACS_2016_ADMISSION_MANIFEST.json",admission manifest,ACS 2016,UNSCORED,n/a,n/a,"An admission report is admission preparation, never performance evidence. A 2016 evaluation would need its own prospective protocol and its own registered predictions, and the income estimand differs again in that year.",PYTHONPATH=. python -m experiments.pcrl_evidence_review_v1.admit_acs_2016  (already committed at 0d8f4b67b6d4961dfa133289d0167c874d2f4794)
C21,§5,"The spectral trace step, random Fourier features in a closed-form solver, multiple-attribute weighted penalties, eigenvalue-sign rank selection, conditional penalties inside such a solver, the conditional-independence moment form and cross-fitting are all PRIOR WORK. Reuse is attribution, not innovation.",structural,Ky Fan 1949; K-TOpt; OptNet-ARL Thm 4.1; SARL Thm 3; K-TOpt Cor 4.1; U-FaTE; KCI Lemma 2(v) / RCoT Eq. 26; Chernozhukov et al.,0d8f4b67b6d4961dfa133289d0167c874d2f4794,results/pcrl_evidence_review_v1/NOVELTY_MATRIX.md,novelty matrix sections 3 and 4,n/a (literature),"verified against primary sources; rows marked ""abstract"" were not read in full",n/a,n/a,"A bounded search cannot establish novelty. ""We did not find a directly matching evaluation"" is narrower than ""no prior method can do this"", and the latter would be false for the adaptation question.","n/a (manual verification, recorded in NOVELTY_MATRIX.md)"
C22,§5,"No external published method was executed, so no competitiveness claim against the literature is made or supported.",open,"SARL, K-TOpt, U-FaTE, OptNet-ARL, LEACE and SPLINCE discussed, none run",0d8f4b67b6d4961dfa133289d0167c874d2f4794,"results/pcrl_evidence_review_v1/CONTRIBUTION_ASSESSMENT.md, results/pcrl_manuscript_review_v2/RELATED_WORK_SCOPE.md",n/a,n/a,"UNIMPLEMENTED, stated as a limitation",n/a,n/a,"J is an internal channel and is not an external state-of-the-art benchmark. A fair external comparison has scope constraints: LEACE/SPLINCE may act only on the auxiliary channel if H is immutable, and no baseline may consume residence labels if it is compared on transfer to a residence task excluded from representation fitting. Any privileged-label variant is an oracle and belongs outside the main comparison.",n/a
C23,§10; Verification,"The lock verifies over every hashed input with all three amendments applied, and the published verification artifact predates the third amendment.",structural,"17639 inputs hashed (1.80 GB), 0 changed, 0 missing, 0 invalid amendment entries; amendments not covered by the published artifact: TRANSPORT_LOCK_AMENDMENT_3.json; final reads after amendment 3: 0",this branch,results/pcrl_manuscript_review_v2/CORRECTED_INDEPENDENT_VERIFICATION.json,corrected companion artifact,"the 17,639 locked inputs",read-only integrity check,n/a,exact hashing,"This recomputes the lock verification only. It reruns no prediction, fit or score, and establishes nothing about attack strength or about the cause of the numerical corruption recorded in amendment 2.",PYTHONPATH=. python -m experiments.pcrl_manuscript_v2.recheck_verification --study-root <study worktree> --published results/redesign_20260917_acs_spectral_transport_v1 --out results/pcrl_manuscript_review_v2
C24,Abstract; §1; §9 (all),"Independent reproduction: all 90 Study-1 endpoints regenerate under a separately written scorer, and no numerical result changed in any correction.",structural,"max abs difference 1.11e-15 on estimates, 2.40e-15 on interval endpoints, identical critical values; 0 selection mismatches in 924 cells",0d8f4b67b6d4961dfa133289d0167c874d2f4794,"results/pcrl_evidence_review_v1/FAMILY_AGREEMENT.json, results/pcrl_evidence_review_v1/SELECTION_RECHECK.json",all 90 F1-F4 endpoints,ACS 2017 final partition,independent reanalysis,"Mode B, scope transport_all (fresh + catch-up + frozen-2018 candidates, wire and derived spaces), budget 360; logistic, 2 restarted MLPs, 2 boosted-tree and kernel-ridge families, plus legal projections of H and singleton candidates","the study's declared RNG and replicate count, reimplemented","Independence is in the estimator arithmetic, selection rule, household indexing and interpreter, not in the randomness.",PYTHONPATH=. python -m experiments.pcrl_evidence_review_v1.reanalyse_transport  (already committed at 0d8f4b67b6d4961dfa133289d0167c874d2f4794)
C25,§1; §11 Conclusion,"The defensible contribution is the problem formulation and the evaluation design, not a mechanism. Both method results are negative.",hypothesis,Study 1: registered secondary comparison F3 not supported. Study 2: all 8 registered coordination decisions not supported.,0d8f4b67b6d4961dfa133289d0167c874d2f4794 + c37807e4f568ef38e5528fc09c1506083278bf4d,"results/redesign_20260917_acs_spectral_transport_v1/TRANSPORT_DECISION.json, results/pcrl_nonlinear_rank_v1/DEVELOPMENT_2018.json",registered decisions of both studies,ACS 2017 final partition and ACS 2018 development pools,"a judgement about the two studies, not a measurement",n/a,n/a,"Whether a formulation is a contribution is a judgement a reviewer may reject. A finite collection of failed variants rules out no method family, and a maximally leaky channel is not an upper bound on attainable utility at a privacy constraint.",n/a
