id,claim,status,source_commit,source_file,estimand,split,weighting,uncertainty,correction_family,verification,limitations,paper_location
O2,The universal zero-R2-implies-majority-accuracy guarantee is false and withdrawn; exact 20-row counterexample has R2=0 with 90% threshold accuracy.,REFUTED AND WITHDRAWN (API still live on public main),0176f149e91c02b8e2d202eb25ea9cba8ae019dc,docs/ACCURACY_CERTIFICATE_RETIREMENT.md,counterexample,exact finite sample,n/a,exact,n/a,source-read; API now raises,"The valid statement covers losses convex in an affine prediction, not thresholded accuracy. The retired API still ships on origin/main; a reviewable repair branch exists and is NOT merged.",sec:audit; sec:corrections
O3,Two views with exactly zero cross-covariance with the same signal retain exactly zero under concatenation; approximate leakage does not inherit this.,SUPPORTED (correctly scoped),0176f149e91c02b8e2d202eb25ea9cba8ae019dc,docs/ACCURACY_CERTIFICATE_RETIREMENT.md,linear composition,exact statement,n/a,exact,n/a,source-read,Implies neither independence nor any nonlinear guarantee.,sec:audit
O4,A shared union eraser does not demonstrate retention of conflicting purposes; separate per-purpose LEACE retains both tasks and the restricted arm ties it.,SUPPORTED (correctly scoped),0176f149e91c02b8e2d202eb25ea9cba8ae019dc,results/redesign_20260907_gaussian_v1/TABLE.md,final-test predictive R2,Gaussian pilot,n/a,mean +/- SD across seeds,n/a,source-read: shared_union -0.0005/-0.0004 vs per_purpose 0.9996/0.9997; restricted arm identical to per-purpose,"A tie with the relevant comparator, not a win; distinct mechanisms and distinct claims.",sec:corrections
O5,Original encoder-line training headline totals are same-grid post hoc development evidence.,DISCLOSED LIMITATION,0176f149e91c02b8e2d202eb25ea9cba8ae019dc,results/reviewer_dropins/PAPER_PASTE.md lines 96-126,optimizer schedule development,same 60-cell grid,n/a,n/a,n/a,source-read: dual floor and skip-warmup developed after examining an earlier evaluation on the same grid; no held-out grid validation,A later prospective registration does not retrospectively validate it.,app:lineage
O6,A proposed near-optimality certificate was explicitly skipped for want of a numerical check.,NOT AN IMPLEMENTED RESULT,0176f149e91c02b8e2d202eb25ea9cba8ae019dc,results/reviewer_dropins/PAPER_PASTE_theory.md lines 93-127,proposal only,n/a,n/a,n/a,n/a,source-read,A proposed or skipped certificate is not a verified result and is not claimed.,sec:corrections
T3-1,The code T is label-free.,REFUTED — it is residence-supervised,f4bdf4cd5bf74c634feeec50aef78bff249667e4,experiments/pcrl_task_directed_release_v1/encoding.py fit_encoder; PROTOCOL.md:17,construction of the input code,n/a,n/a,n/a,verified by reading fit_encoder: two teachers are fitted on rf['labels']['same_residence'],"No protected label enters at runtime, but the code is built from residence-supervised teachers; 'label-free' is withdrawn everywhere.",sec:method; sec:eval baselines,
T3-2,The selected release constrains coalition disclosure.,REFUTED — local policy only,f4bdf4cd5bf74c634feeec50aef78bff249667e4,HEADLINE_EVIDENCE.json nominee T0_L_...; T3 THEORY_REPAIRS,constraint scope of the selected candidate,2018 development,both,n/a,n/a,"policy L imposes no AB constraint; AB fitted CMIs are 0.0119-0.0177, above the 0.01 budget","The framework offers both policies; the selected candidate is local, so its coalition view is audited, not constrained.",sec:method
T3-3,Coarse conditioning partition sizes.,STATED,f4bdf4cd5bf74c634feeec50aef78bff249667e4,encoding.py ServicePartitions.fit(n_local=2),conditioning view granularity,n/a,n/a,n/a,n/a,"verified: 2 k-means cells on H_A columns [1,3]; coalition adds a median split of H_B -> 4 cells",A fitted-model budget on a 2/4-cell partition is not a guarantee on continuous H.,sec:method
T3-4,Measured recovery increments bound additional information.,REFUTED,33124f965861ccfcaa710aff4a56880c5ab3957e,T3 fixture F9,estimand semantics,n/a,n/a,n/a,n/a,absolute recovery is (up to sampling error) a lower bound on the view's MI; the increment is a difference of two lower bounds and bounds I(S;Z|H) in neither direction,Corrected in the measurement contract.,sec:problem
T3-5,The encoder line's backbone was pretrained.,REFUTED — frozen random MLP,33124f965861ccfcaa710aff4a56880c5ab3957e,run_v2_dataset.py @ dbe0fdc; lora.py:182,architecture description,n/a,n/a,n/a,n/a,T3 source-read,"Also means the reported 'architectural floor' is a property of a random frozen feature map, not of a pretrained encoder.",app:lineage; sec:corrections
T3-6,A rank floor for a single-layer edit applies to the trained adapters.,REFUTED (P4 misapplied),33124f965861ccfcaa710aff4a56880c5ab3957e,T3 fixture F12,scope of the rank-floor proposition,n/a,n/a,n/a,n/a,a rank-one edit of the first layer can remove a rank-two sensitive cross-covariance when later layers are nonlinear,Stated as a correction.,sec:corrections
T3-7,Approximate composition bound.,SUPPORTED (adds a tight lemma),33124f965861ccfcaa710aff4a56880c5ab3957e,"T3 THEORY_REPAIRS T3; fixtures F4, F11",R2 composition across views,n/a,n/a,n/a,n/a,R2(h_1..h_k) <= sum_p R2(h_p)/lambda_min(R) with R the block-whitened cross-view correlation; tight on the delta example,"Exact-zero-covariance views can still determine the attribute nonlinearly (SV, V give S).",sec:audit
T3-8,Prior art for the finite programme and the coalition structure.,ATTRIBUTION CORRECTED,33124f965861ccfcaa710aff4a56880c5ab3957e,T3 PRIOR_ART_MATRIX M1-M5,novelty scope,n/a,n/a,n/a,n/a,convexity is Calmon & Fawaz 2012 / Salamatian 2015; Rassouli-Gunduz's LP is for MI utility; releases beside fixed earlier releases is Erdogdu & Fawaz 2015; per-party and collusion MI constraints are Taylor et al. 2026,No algorithmic novelty survives; what remains is the setting (third-party immutable service held by a coalition partner) plus the measurement contract.,sec:related; sec:method
T3-9,results/rebuttal/** belongs to the AAAI paper.,REFUTED — it is this line's rebuttal work,33124f965861ccfcaa710aff4a56880c5ab3957e,"results/rebuttal/{ablations_facct,erase_layer_pilot,erase_layer_vicreg_sweep_aws,erase_rank8_diabetes_cpu}",provenance of rebuttal evidence,n/a,n/a,n/a,n/a,"verified by reading the headlines: per_dim_std, LoRA erasure floor, the published [128,128]->64 backbone, Adult/HMDA/Diabetes",My earlier review file misattributed these and wrongly listed two AAAI runs as this paper's Appendix A; both corrected.,REVIEW_TO_EVIDENCE.md
T3-10,Efficacy counts under one checkpoint rule.,DISCLOSED,33124f965861ccfcaa710aff4a56880c5ab3957e,T3 REVIEW_RESPONSE_EVIDENCE R4,strict vs clean pass counts,historical encoder-line grid,n/a,n/a,n/a,final iterate 56/60 strict with 7/60 also clean; best-checkpoint rule 54/60; later erase-layer arm 60/60 strict but 0/60 clean,Counts differ by checkpoint rule; strict and clean are reported separately under one stated rule.,app:lineage
T3-11,The low-rank adapter and the frozen erasure layer are necessary.,NOT ESTABLISHED (ablations never run),33124f965861ccfcaa710aff4a56880c5ab3957e,results/rebuttal/ablations_facct/PREDICTIONS.md @ ecaeba46,component necessity,n/a,n/a,n/a,n/a,both ablations registered with code and a smoke test; neither was run; the existing comparison confounds the erasure layer with the constraint,No necessity or advantage is claimed for either component.,app:lineage
T3-12,The earlier submission received venue reviews.,SUPPORTED (reviews exist; text not in any repo ref),33124f965861ccfcaa710aff4a56880c5ab3957e,results/rebuttal/ablations_facct/PREDICTIONS.md @ ecaeba46,review record,n/a,n/a,n/a,n/a,"the registration cites reviewer handles and the area chair ('reviewers AC, AkJK Q1, NY7k Q2'; 'AkJK Q2')",Paraphrases cannot substitute for the appendix; the author must retrieve the review text.,REVIEW_TO_EVIDENCE.md; SUBMISSION_READY_CHECK.md
