claim_id,claim_wording,source,data_split,inference_scope,verdict,finding,replacement_wording,numerical_result_changed,regenerating_command
C11,Negative selected increments are retained as measurements and are not evidence of protection.,results/redesign_20260917_acs_spectral_transport_v1/TRANSPORT_RESULTS.md §10; PROTOCOL.md §5,"Mode B, transport_all and common_fresh, 360",validation-selected attacks only,supported,"22 of 429 unweighted role-cells are negative in transport_all (26 of 429 in common_fresh). J's own A/SEX increment is negative under PWGTP with an interval excluding zero. Separately, in 8 of 312 sensitive cells the selected attack on the augmented wire does worse than H's own attack routed onto that wire (15 of 312 under common_fresh) - and that routed H attack remains executable, so the information is available regardless of what selection picked.",no change,no,read results/redesign_20260917_acs_spectral_transport_v1/evidence/NEGATIVE_INCREMENTS.csv and SELECTED_VS_ROUTED_H.csv
C12,Adding frozen 2018 attackers lowers additional recovery because it strengthens the subtracted H baseline.,results/redesign_20260917_acs_spectral_transport_v1/TRANSPORT_RESULTS.md §10,"Mode B, common_fresh vs transport_all, 360",as C04,supported,"Reproduced for every interface and endpoint. The change is a baseline effect, not a change in what the augmented wire discloses: absolute recovery on the augmented wire moves far less than the increment does.",no change,no,python -m experiments.pcrl_evidence_review_v1.tradeoff_tables --published results/redesign_20260917_acs_spectral_transport_v1 --out results/pcrl_evidence_review_v1 (SCOPE_COMPARISON.csv)
C13,"Race class 3 (Alaska Native alone) has one person in the final partition, so class-level race statements are withheld.",results/redesign_20260917_acs_spectral_transport_v1/TRANSPORT_RESULTS.md §13; DATA_ADMISSION.md,2017 partitions,class-level statements only,supported,"Confirmed: final-partition support vector is [9053, 837, 112, 1, 37, 2544, 68, 2399, 873] and 2017 attacker validation contains none of class 3. Full nine-class log loss is always scored with the 1e-12 floor, and the comparable-category diagnostic reproduces the F1 race differences. A class with no support is not ""protected"": it is unmeasured.",no change (wording already avoids calling it protected),no,read results/redesign_20260917_acs_spectral_transport_v1/seed_0/spectral_C1/mode_B/metrics.json support field; DATA_ADMISSION.md
C14,"The spectral step is a global optimum of its fixed matrix, so the gap is the surrogate, not the solver.",results/redesign_20260917_acs_spectral_transport_v1/RESEARCH_DECISION.md,construction,the fixed empirical matrix only,"supported in the first half, overstated in the second","Global optimality for the fixed matrix is Ky Fan and is verified against direct least squares for every arm, so a failure to solve the stated problem is excluded. That leaves five candidate causes unseparated: the finite feature map, nuisance misspecification, the whitening/normalisation, the fixed rank 16, the reconstruction surrogate standing in for downstream utility, and finite-sample generalisation. Nothing in the ACS measurements distinguishes them. The counterexamples prove a linear-in-Z penalty CAN be defeated by a nonlinear attacker; they do not show that this is what happened here.","Replace ""the gap is the surrogate"" with ""consistent with a surrogate mismatch; the design does not separate it from four other candidate causes"".",no,results/pcrl_evidence_review_v1/METHOD_REVIEW.md §9; python -m pytest tests/pcrl_evidence_review_v1 -q
C15,"If a conditional penalty that acts on nonlinear functions of Z also leaks more than J, the conclusion generalizes to the closed-form spectral family for this interface.","results/redesign_20260917_acs_spectral_transport_v1/RESEARCH_DECISION.md (""One next decision"")",proposed follow-up,family-level inference,unsupported; removed,"Invalid twice. Two arms failing is evidence about two arms. And a penalty nonlinear in Z is provably not a trace form tr(W'AW) for any W-independent A - it is not invariant under W -> WQ for orthogonal Q, while every trace form is - so the proposed successor is not in the closed-form family at all and its failure would say nothing about it.",Removed from the corrected paper and flagged to Terminal A as finding A5.,no,"results/pcrl_evidence_review_v1/METHOD_REVIEW.md §4, §9; python -m pytest tests/pcrl_evidence_review_v1 -q (test_kernelised_output_features_break_the_trace_form)"
C16,"Selecting rank by the sign of the eigenvalues is the proposed improvement, adapted from U-FaTE.",results/redesign_20260917_acs_spectral_transport_v1/RESEARCH_DECISION.md,proposed follow-up,novelty attribution,misattributed,"Eigenvalue-sign rank selection is already the published result in this line, three times over: SARL Theorem 3 (gamma = min{r, j} with j the number of negative eigenvalues of B), OptNet-ARL Theorem 4.1 (optimal dimension = number of negative eigenvalues), and K-TOpt Corollary 4.1 (number of non-negative eigenvalues). U-FaTE is NOT the source: its Theorem 1 takes the r LARGEST eigenvalues and it sets r = c-1 from the number of target classes. U-FaTE contributes the conditional penalty, not the rank rule.",Attribute sign-based rank selection to SARL/OptNet-ARL/K-TOpt and the conditional penalty to U-FaTE.,no,"results/pcrl_evidence_review_v1/NOVELTY_MATRIX.md rows SARL, OptNet-ARL, K-TOpt, U-FaTE"
C17,"The protocol, families, endpoints and decision rules were fixed and pushed before the final partition could be read.",results/redesign_20260917_acs_spectral_transport_v1/PROTOCOL.md; RESEARCH_DECISION.md; VALIDATION.md §3,lock and access log,evidential status of the run,supported,"The lock (17,639 inputs) was created 16:46:04Z and all 10 final accesses fall in 16:46:33-17:54:45Z under the same lock digest. No directional prediction was registered, and the study says so. Prespecified contrasts, endpoint families and rules still carry evidential value: they fix the multiplicity, the estimand and the stopping point before the outcome. The absence of a called shot does not make the run exploratory.",no change (the disclosure is already correct and should be kept verbatim),no,read results/redesign_20260917_acs_spectral_transport_v1/FINAL_ACCESS_LOG.json and TRANSPORT_LOCK.json created_utc
C18,No withholding mechanism dominates spectral_C1 across all seeds and both weightings; the frontier does not reduce to withholding a simpler channel.,results/redesign_20260917_acs_spectral_transport_v1/TRANSPORT_RESULTS.md §11; PAPER_DRAFT.md §7,"Mode B, transport_all, 360, fixed p grid",the specified routed family only,supported but asymmetrically reported,Both directions matter and only one is given prominence: withholding dominates a given spectral arm in 1-3 of 180 fixed comparisons and a spectral arm dominates withholding in 0-3 of 180. Neither family is robustly better. A finite list of controls failing to dominate is not evidence of efficiency.,Report both counts and state explicitly that non-dominance by these controls does not establish that C1 is on any frontier.,no,read results/redesign_20260917_acs_spectral_transport_v1/evidence/WITHHOLDING_DOMINANCE.csv
C19,2017 is admissible as a locked temporal evaluation and 2016 remains the unused candidate year.,results/redesign_20260917_acs_spectral_transport_v1/DATA_ADMISSION.md; RESEARCH_DECISION.md,admission,provenance and schema only,supported; 2016 now prepared,"The 2016 California one-year person file validates against the 2017 code ranges with zero violations: 376,035 raw rows, 79,298 eligible people in 53,093 published groups, 0 duplicate or conflicting person keys. All 16 of 17 feature/target/sensitive variables have identical dictionary code sets to 2017; PINCP differs only in its declared top-code ceiling (2..9999999 in 2016 vs 2..4209995 in 2017) and no observed 2016 value falls outside the 2017 range. ADJINC is 1.007588 (2017: 1.011189; 2018: 1.013097), so nominal income shifts the income estimand further. SERIALNO is 9 digits with no year prefix, so year-qualified keys are required. Every RAC1P class has support in every fitting and validation pool, including class 4 (Alaska Native) with 2 people in attacker validation - the support gap that limited 2017. No 2016 model was fitted, no row transformed, no prediction made and no final label read.","Record 2016 as admissible on provenance and schema, with the income estimand change documented, not repaired.",no,python -m experiments.pcrl_evidence_review_v1.admit_acs_2016 --data data/acs_2016_admission --out results/pcrl_evidence_review_v1
C20,"Uncertainty is household-resampling uncertainty for fixed fitted systems, not retraining or Census design variance.",results/redesign_20260917_acs_spectral_transport_v1/PROTOCOL.md §6; METHOD_AND_SCOPE.md §4,2017 final partition,"people in the final partition, three fixed systems",supported,"Independently reconstructed: 2,000 replicates over 10,701 households, shared draws across every method, seed, task and weighting; ratio estimators recomputed inside each replicate; both rows of a household share a resample count; three seed predictions for one person are one person. All 90 family rows reproduce to 1.1e-15 on estimates and 2.4e-15 on interval endpoints, with identical critical values.",no change,no,python -m experiments.pcrl_evidence_review_v1.reanalyse_transport --study <local> --published results/redesign_20260917_acs_spectral_transport_v1 --out results/pcrl_evidence_review_v1 (FAMILY_AGREEMENT.json)
