id,claim,status,source_commit,source_file,source_key,dataset_year,statistical_family,value,caveat,manuscript_location
V09-OptNet-C1,Adapted OptNet-C1 recovers significantly less than the repaired mechanism riv16-C1 on the sensitive endpoints.,SUPPORTED,73903b7f28df68284285f0610a4036beb32b208f,results/pcrl_invariant_baselines_v1/PAIRED_INTERVALS.csv,optnet16_C1-spectral_riv16_C1,ACS 2018 (development; pools used repeatedly),"paired household-cluster bootstrap, 2000 replicates, 20147 cohort-household clusters; single-step studentised max-|t| simultaneous, within contrast x weighting","8 of 8 sensitive cells significantly better (4 endpoints x 2 weightings); residence +0.00857 [+0.00231, +0.01483] SIGNIFICANTLY WORSE","An ADAPTATION, not a replica. Its guarantee (where it has one) covers the transformed channel on the moments it was fitted on, not the augmented release the attacker holds. Shared policy coefficients do not imply equal effective regularisation.",Abstract (iv); sec:external Table 3
V09-OptNet-L2,Adapted OptNet-L2 recovers significantly less than the repaired mechanism riv16-C1 on the sensitive endpoints.,SUPPORTED,73903b7f28df68284285f0610a4036beb32b208f,results/pcrl_invariant_baselines_v1/PAIRED_INTERVALS.csv,optnet16_L2-spectral_riv16_C1,ACS 2018 (development; pools used repeatedly),"paired household-cluster bootstrap, 2000 replicates, 20147 cohort-household clusters; single-step studentised max-|t| simultaneous, within contrast x weighting","8 of 8 sensitive cells significantly better (4 endpoints x 2 weightings); residence +0.00965 [+0.00328, +0.01602] SIGNIFICANTLY WORSE","An ADAPTATION, not a replica. Its guarantee (where it has one) covers the transformed channel on the moments it was fitted on, not the augmented release the attacker holds. Shared policy coefficients do not imply equal effective regularisation.",Abstract (iv); sec:external Table 3
V10,"""LEACE dominates the repaired mechanism with no statistically detectable residence cost"" is NOT supported.","WITHDRAWN (the word ""dominates"" and the ""no cost"" clause)",73903b7f28df68284285f0610a4036beb32b208f,results/pcrl_invariant_baselines_v1/PAIRED_INTERVALS.csv,leace_A0-spectral_riv16_C1 and leace_A0-A0 / utility/same_residence,ACS 2018 (development; pools used repeatedly),"paired household-cluster bootstrap, 2000 replicates, 20147 cohort-household clusters; single-step studentised max-|t| simultaneous, within contrast x weighting","vs riv16-C1: +0.00357 [-0.00284, +0.00999] UNRESOLVED | vs its own source A0: +0.00978 [+0.00363, +0.01593] SIGNIFICANTLY WORSE | mean residence gain A0 0.0318 -> leace_A0 0.0220","Non-significance is not absence: the interval admits a cost up to 0.010 nats, larger than the recovery advantage on three endpoints, and it CONTAINS SPLINCE's +0.00888 which the same analysis calls significant. Against the channel LEACE actually transformed, the cost IS significant.",sec:external; sec:withdrawn 1; CORRECTIONS B1
V11,"LEACE, SPLINCE, OptNet-C1 and OptNet-L2 are not separated from J on any family endpoint; the repaired mechanism is significantly worse on three of four.","NARROWED (unresolved, not equivalent)",73903b7f28df68284285f0610a4036beb32b208f,results/pcrl_invariant_baselines_v1/PAIRED_INTERVALS.csv,comparison_family=external_vs_J,ACS 2018 (development; pools used repeatedly),"paired household-cluster bootstrap, 2000 replicates, 20147 cohort-household clusters; single-step studentised max-|t| simultaneous, within contrast x weighting","leace_A0-J A/SEX unweighted +0.00548 [-0.00063, +0.01158] UNRESOLVED; optnet16_L1-J A/SEX unweighted +0.01038 [+0.00249, +0.01827] SIGNIFICANTLY WORSE; spectral_riv16_C1-J A/SEX unweighted +0.01353 [+0.00586, +0.02120] SIGNIFICANTLY WORSE","NO equivalence or non-inferiority test was run for these cells. All three external point estimates lean towards J on local sex, two missing significance by under 0.0007. OptNet-L1 IS significantly worse than J.",sec:external Table 4; sec:withdrawn 2; CORRECTIONS B2
V12,J is not Pareto-dominant: it supplies less authorised capability than several spectral arms.,SUPPORTED,73903b7f28df68284285f0610a4036beb32b208f,results/pcrl_invariant_baselines_v1/PAIRED_INTERVALS.csv,"spectral_riv16_{C1,L1}-J / utility/same_residence",ACS 2018 (development; pools used repeatedly),"paired household-cluster bootstrap, 2000 replicates, 20147 cohort-household clusters; single-step studentised max-|t| simultaneous, within contrast x weighting","riv16-C1 - J -0.00406 [-0.01164, +0.00352] UNRESOLVED; riv16-L1 - J -0.00797 [-0.01569, -0.00025] SIGNIFICANTLY BETTER; mean residence gain J 0.0215 vs riv16-C1 0.0256","Negative residence means the spectral arm supplies MORE capability. The comparison is a trade, not a domination, in either direction.",sec:study1; sec:withdrawn 3; CORRECTIONS B3
V13,Protected-class support in the fitting pool determines the realised width of a linearly erased channel.,"SUPPORTED, with the denominator corrected",73903b7f28df68284285f0610a4036beb32b208f,results/pcrl_invariant_baselines_v1/ERASURE_BASELINES.json,seeds.*.leace_A0.realised_projection_rank; coverage.RAC1P.support_complete_cases,ACS 2018 (development; pools used repeatedly),none (exact rank arithmetic),"realised width 6, 6, 7 of 16; race class 3 support in that seed's own fitting pool 1, 1, 0","These are FITTING-POOL counts, not population support. The category is not absent from California. A class without support is unmeasured, not protected.",sec:external; app:study3; CORRECTIONS B7
V14,"The marginal spectral arms ARE SARL-style adaptations, with one measured mismatch.",SUPPORTED,73903b7f28df68284285f0610a4036beb32b208f,results/pcrl_invariant_baselines_v1/ALIAS_AUDIT.json,seeds.*.arms[*].stored_map_bitwise_identical; sarl_gram_subspace_distance,ACS 2018 (development; pools used repeatedly),none (bitwise rebuild),bitwise identical (max abs diff 0.0) for both marginal arms in all three seeds; per-attribute trace reweighting moves the subspace by projector Frobenius distance 0.10-0.20; 6 duplicate fits avoided,"Equivalence is claimed to the PAPER, not to the official code path, which takes the algebraically smallest eigenvectors with no sign test - a subspace at distance 5.657 of a maximum 5.657.",sec:external; RELATED_WORK_COMPARISON sec 4
V15,"nlr8-C1 is significantly worse than J on local sex; the person-weighted deficit is +0.01210, not +0.0098.",CARRIED CORRECTION (verified),c37807e4f568ef38e5528fc09c1506083278bf4d,results/pcrl_nonlinear_rank_v1/PAIRED_INTERVALS.csv,spectral_nlr8_C1-J / recovery/A/SEX,ACS 2018 (development; pools used repeatedly),"paired household-cluster bootstrap, 2000 replicates, 20147 cohort-household clusters; single-step studentised max-|t| simultaneous, within contrast x weighting","unweighted +0.01065 [+0.00331, +0.01799] SIGNIFICANTLY WORSE; person-weighted +0.01210 [+0.00441, +0.01978] SIGNIFICANTLY WORSE","nlr8-C1 was selected as best after inspecting 12 new conditions. That is a selection, and A/sex is the endpoint a selective reading would omit.",sec:study23; sec:withdrawn 7; app:study2
V16,"""No endpoint significantly worse"" for the nonlinear-penalty factor is false.",CARRIED WITHDRAWAL (verified),c37807e4f568ef38e5528fc09c1506083278bf4d,results/pcrl_nonlinear_rank_v1/PAIRED_INTERVALS.csv,spectral_nlr8_L1-spectral_lin8_L1 / recovery/A/RAC1P,ACS 2018 (development; pools used repeatedly),"paired household-cluster bootstrap, 2000 replicates, 20147 cohort-household clusters; single-step studentised max-|t| simultaneous, within contrast x weighting","unweighted +0.00862 [+0.00168, +0.01556] SIGNIFICANTLY WORSE; person-weighted +0.00681 [-0.00141, +0.01503] UNRESOLVED",The correction holds under ONE weighting; the manuscript says which.,sec:study23; sec:withdrawn 7; app:study2
V17,Paired contrasts between arms are invariant to the attack scope; H-relative levels and ratios are not.,"SUPPORTED (new in v3, independently derived)",73903b7f28df68284285f0610a4036beb32b208f,results/pcrl_invariant_baselines_v1/PER_SEED.csv,"kind in {absolute_recovery, additional_recovery}, endpoint A/SEX, budget 360, split test",ACS 2018 (development; pools used repeatedly),"seed means, no interval",H absolute 0.00142 -> 0.00708; riv16-C1 absolute 0.01589 (unchanged); leace_A0 - riv16-C1 = -0.00805 on BOTH scales,"The reporting scope gives H and the frozen historical interfaces their saved-observer catch-up attacks; the new arms have none. J's absolute recovery FALLS when given more candidates, which is a measured instance of a selected attack generalising worse.",sec:limits; app:scope; CORRECTIONS B11
V18,No reported number is an upper bound on recoverable information.,NOT CLAIMED (scope statement),73903b7f28df68284285f0610a4036beb32b208f,results/pcrl_invariant_baselines_v1/VALIDATION.md,section 8,all,n/a,22 of 429 unweighted role-cells have NEGATIVE additional recovery; J's own local-sex increment is negative under person weighting with an interval excluding zero,"Validation-selected finite attacks attain no infimum, so the differences bound I(S;Z|H) in neither direction. Negative increments are reported unclipped.","sec:method; sec:limits; app:math M2, M3"
V19,Nothing in this work is a certificate of conditional independence or an information bound.,NOT CLAIMED (scope statement),73903b7f28df68284285f0610a4036beb32b208f,results/pcrl_invariant_baselines_v1/METHOD.md,"sections 3.4, 3.7, 7",all,n/a,"kernel block conditional-null floor 7.13e-4 at m=512 under oracle nuisances, decaying ~1/m; a misspecified nuisance manufactures a penalty >10x the oracle value under EXACT conditional independence",The floor applies equally to every arm so it does not bias comparisons; it bounds what an absolute block value can mean. No Type-I control inherited from KCI or RCoT.,"sec:method; sec:limits; app:math M4c, M5"
V20,ACS 2016 remains unscored and is not authorised by any result here.,SUPPORTED (scope boundary),73903b7f28df68284285f0610a4036beb32b208f,results/pcrl_invariant_baselines_v1/RUN_STATUS.md,Scope boundaries in force,ACS 2016 (UNSCORED),n/a,"no label, output, transform or performance figure inspected; admission is provenance and schema only, with a prospective label-blind split prepared",A development result is not a reason to spend the one unused year. A positive development result may MOTIVATE a confirmation; it cannot inherit sealed status.,sec:limits; Table 1
V21,"Numerical faults were observed during Study 3; memory pressure is an associated condition, not a demonstrated cause.","REPORTED, with a stale contradicting document flagged",73903b7f28df68284285f0610a4036beb32b208f,results/pcrl_invariant_baselines_v1/RUN_STATUS.md,"Failures and repairs, item 4",ACS 2017 exploratory stage,n/a,"4 aborts, captured signature a probability row summing to exactly zero; 4 QUARANTINE.json records; every unit recomputed by the unpatched pipeline; no corrupted array reached any table",VALIDATION.md sections 4 and 5 state no such fault occurred; that file predates the stage. The manuscript follows RUN_STATUS.md. Nothing here claims the machine is now proved reliable.,sec:limits; CORRECTIONS B10
V22,Only recipient A receives a learned channel; no multi-channel or arbitrary-coalition validation is claimed.,SCOPE LIMIT,73903b7f28df68284285f0610a4036beb32b208f,results/pcrl_invariant_baselines_v1/METHOD.md,section 6,all,n/a,A wire width 20 = H_A (4) + channel (16); AB wire width 22; H_B unchanged in every arm,"The coalition penalty is a constraint on one channel given another recipient's fixed view, not a multi-channel design.",sec:interface
V23,"Residence and commute labels enter no representation fit, but residence is not a pristine unseen task.",SCOPE LIMIT,73903b7f28df68284285f0610a4036beb32b208f,results/pcrl_invariant_baselines_v1/METHOD.md,"sections 1, 3.1, 6",all,n/a,"subset selection uses only validity masks and an RNG; selection never consults attackers, residence, commute, development outcomes or the transport table","Residence outcomes have been used repeatedly across this line of work as the utility endpoint, so choosing residence as the capability measure is itself a development decision. No unseen-task generality is claimed.",sec:interface; sec:limits
V24,Fit ledger for Study 3.,SUPPORTED,73903b7f28df68284285f0610a4036beb32b208f,results/pcrl_invariant_baselines_v1/FIT_SUMMARY.json,fit_ledger,ACS 2018 (development; pools used repeatedly),n/a,"33 new mapper fits (18 repaired + 3 LEACE + 3 SPLINCE + 9 OptNet) against a nominal 33; 0 SARL fits by proved alias, avoiding 6; 27 historical/predecessor conditions reused and never refitted",Counts describe implementation effort. They are not scientific evidence and no claim rests on them. A cache read is never counted as a new fit.,app:study3
V25,Terminal 1's fourth study had committed no protocol at the time of this revision.,PENDING,n/a,n/a,n/a,n/a,n/a,"no protocol, matrix or result committed on any branch as of 2026-09-18",Cells are left empty and marked pending. No forecast is entered. The predecessor claim that Terminal 1 had no experiment at all was stale and is corrected: Study 3 exists and is integrated.,app:pending; PENDING_EXPERIMENT_INTEGRATION.md
